time,open,high,low,close
2024-01-02T00:00:00+00:00,2400.0,2400.16,2399.83,2400.14
2024-01-02T00:01:00+00:00,2400.14,2400.7,2400.12,2400.61
2024-01-02T00:02:00+00:00,2400.61,2400.78,2400.58,2400.74
2024-01-02T00:03:00+00:00,2400.74,2403.58,2400.67,2403.51
2024-01-02T00:04:00+00:00,2403.51,2404.08,2403.37,2404.08
2024-01-02T00:05:00+00:00,2404.08,2404.29,2404.03,2404.22
2024-01-02T00:06:00+00:00,2404.22,2404.27,2403.78,2403.86
2024-01-02T00:07:00+00:00,2403.86,2404.11,2403.84,2403.93
2024-01-02T00:08:00+00:00,2403.93,2404.03,2403.43,2403.64
2024-01-02T00:09:00+00:00,2403.64,2403.81,2403.59,2403.69
2024-01-02T00:10:00+00:00,2403.69,2403.96,2403.59,2403.83
2024-01-02T00:11:00+00:00,2403.83,2403.91,2403.67,2403.78
2024-01-02T00:12:00+00:00,2403.78,2403.82,2403.75,2403.76
2024-01-02T00:13:00+00:00,2403.76,2404.2,2403.65,2404.08
2024-01-02T00:14:00+00:00,2404.08,2404.19,2400.81,2400.95
2024-01-02T00:15:00+00:00,2400.95,2401.61,2400.88,2401.51
2024-01-02T00:16:00+00:00,2401.51,2401.6,2401.34,2401.57
2024-01-02T00:17:00+00:00,2401.57,2401.86,2401.49,2401.59
2024-01-02T00:18:00+00:00,2401.59,2401.94,2401.57,2401.84
2024-01-02T00:19:00+00:00,2401.84,2402.02,2401.81,2401.85
2024-01-02T00:20:00+00:00,2401.85,2402.08,2401.36,2401.5
2024-01-02T00:21:00+00:00,2401.5,2401.51,2401.46,2401.5
2024-01-02T00:22:00+00:00,2401.5,2402.11,2401.37,2402.0
2024-01-02T00:23:00+00:00,2402.0,2403.55,2401.97,2403.38
2024-01-02T00:24:00+00:00,2403.38,2403.46,2403.01,2403.22
2024-01-02T00:25:00+00:00,2403.22,2403.25,2402.93,2403.08
2024-01-02T00:26:00+00:00,2403.08,2403.13,2402.88,2402.9
2024-01-02T00:27:00+00:00,2402.9,2402.96,2402.81,2402.82
2024-01-02T00:28:00+00:00,2402.82,2403.0,2402.35,2402.39
2024-01-02T00:29:00+00:00,2402.39,2402.64,2402.37,2402.5
2024-01-02T00:30:00+00:00,2402.5,2402.71,2402.41,2402.61
2024-01-02T00:31:00+00:00,2402.61,2403.12,2402.5,2403.01
2024-01-02T00:32:00+00:00,2403.01,2403.54,2403.0,2403.52
2024-01-02T00:33:00+00:00,2403.52,2403.61,2403.36,2403.44
2024-01-02T00:34:00+00:00,2403.44,2403.8,2403.3,2403.71
2024-01-02T00:35:00+00:00,2403.71,2404.27,2403.59,2404.25
2024-01-02T00:36:00+00:00,2404.25,2404.43,2404.22,2404.34
2024-01-02T00:37:00+00:00,2404.34,2404.44,2403.98,2404.29
2024-01-02T00:38:00+00:00,2404.29,2404.51,2404.21,2404.47
2024-01-02T00:39:00+00:00,2404.47,2404.85,2404.41,2404.62
2024-01-02T00:40:00+00:00,2404.62,2404.89,2404.46,2404.78
2024-01-02T00:41:00+00:00,2404.78,2404.84,2404.59,2404.84
2024-01-02T00:42:00+00:00,2404.84,2404.89,2404.46,2404.48
2024-01-02T00:43:00+00:00,2404.48,2405.03,2404.32,2404.89
2024-01-02T00:44:00+00:00,2404.89,2405.14,2404.87,2405.01
2024-01-02T00:45:00+00:00,2405.01,2405.07,2404.77,2404.84
2024-01-02T00:46:00+00:00,2404.84,2404.93,2404.65,2404.66
2024-01-02T00:47:00+00:00,2404.66,2404.69,2404.29,2404.34
2024-01-02T00:48:00+00:00,2404.34,2404.47,2404.15,2404.47
2024-01-02T00:49:00+00:00,2404.47,2404.56,2404.43,2404.46
2024-01-02T00:50:00+00:00,2404.46,2404.65,2404.43,2404.62
2024-01-02T00:51:00+00:00,2404.62,2404.72,2404.31,2404.34
2024-01-02T00:52:00+00:00,2404.34,2404.78,2404.28,2404.7
2024-01-02T00:53:00+00:00,2404.7,2405.27,2404.65,2405.15
2024-01-02T00:54:00+00:00,2405.15,2405.31,2405.08,2405.16
2024-01-02T00:55:00+00:00,2405.16,2405.16,2404.98,2405.0
2024-01-02T00:56:00+00:00,2405.0,2405.14,2404.35,2404.69
2024-01-02T00:57:00+00:00,2404.69,2405.17,2404.54,2405.02
2024-01-02T00:58:00+00:00,2405.02,2405.35,2404.85,2405.15
2024-01-02T00:59:00+00:00,2405.15,2405.18,2404.59,2404.72
2024-01-02T01:00:00+00:00,2404.72,2405.03,2404.71,2405.02
2024-01-02T01:01:00+00:00,2405.02,2405.08,2404.82,2404.91
2024-01-02T01:02:00+00:00,2404.91,2404.97,2404.47,2404.48
2024-01-02T01:03:00+00:00,2404.48,2404.59,2404.25,2404.57
2024-01-02T01:04:00+00:00,2404.57,2404.81,2404.5,2404.73
2024-01-02T01:05:00+00:00,2404.73,2404.91,2404.69,2404.79
2024-01-02T01:06:00+00:00,2404.79,2404.86,2404.53,2404.75
2024-01-02T01:07:00+00:00,2404.75,2405.1,2404.7,2405.09
2024-01-02T01:08:00+00:00,2405.09,2405.16,2404.48,2404.56
2024-01-02T01:09:00+00:00,2404.56,2404.89,2404.48,2404.88
2024-01-02T01:10:00+00:00,2404.88,2405.67,2404.86,2405.62
2024-01-02T01:11:00+00:00,2405.62,2405.65,2405.59,2405.6
2024-01-02T01:12:00+00:00,2405.6,2406.19,2405.52,2406.13
2024-01-02T01:13:00+00:00,2406.13,2406.36,2406.03,2406.24
2024-01-02T01:14:00+00:00,2406.24,2408.98,2406.14,2408.92
2024-01-02T01:15:00+00:00,2408.92,2409.08,2408.87,2409.0
2024-01-02T01:16:00+00:00,2409.0,2409.09,2408.94,2409.05
2024-01-02T01:17:00+00:00,2409.05,2409.06,2408.79,2408.84
2024-01-02T01:18:00+00:00,2408.84,2409.57,2408.76,2409.41
2024-01-02T01:19:00+00:00,2409.41,2409.48,2409.09,2409.16
2024-01-02T01:20:00+00:00,2409.16,2409.6,2409.04,2409.56
2024-01-02T01:21:00+00:00,2409.56,2409.87,2409.5,2409.85
2024-01-02T01:22:00+00:00,2409.85,2409.92,2409.45,2409.58
2024-01-02T01:23:00+00:00,2409.58,2410.14,2409.49,2410.12
2024-01-02T01:24:00+00:00,2410.12,2410.36,2410.09,2410.32
2024-01-02T01:25:00+00:00,2410.32,2410.78,2410.22,2410.66
2024-01-02T01:26:00+00:00,2410.66,2410.75,2410.63,2410.73
2024-01-02T01:27:00+00:00,2410.73,2410.75,2410.42,2410.51
2024-01-02T01:28:00+00:00,2410.51,2410.95,2410.46,2410.83
2024-01-02T01:29:00+00:00,2410.83,2410.95,2410.51,2410.55
2024-01-02T01:30:00+00:00,2410.55,2410.8,2410.55,2410.76
2024-01-02T01:31:00+00:00,2410.76,2410.87,2410.66,2410.75
2024-01-02T01:32:00+00:00,2410.75,2411.15,2410.63,2411.07
2024-01-02T01:33:00+00:00,2411.07,2411.14,2410.93,2411.0
2024-01-02T01:34:00+00:00,2411.0,2411.3,2410.9,2411.28
2024-01-02T01:35:00+00:00,2411.28,2411.37,2410.76,2410.76
2024-01-02T01:36:00+00:00,2410.76,2410.8,2410.49,2410.6
2024-01-02T01:37:00+00:00,2410.6,2410.69,2410.14,2410.16
2024-01-02T01:38:00+00:00,2410.16,2410.22,2409.96,2410.06
2024-01-02T01:39:00+00:00,2410.06,2410.35,2410.02,2410.24
2024-01-02T01:40:00+00:00,2410.24,2410.29,2409.91,2410.03
2024-01-02T01:41:00+00:00,2410.03,2410.05,2409.72,2409.78
2024-01-02T01:42:00+00:00,2409.78,2410.26,2409.62,2410.14
2024-01-02T01:43:00+00:00,2410.14,2410.76,2410.09,2410.67
2024-01-02T01:44:00+00:00,2410.67,2410.72,2410.62,2410.67
2024-01-02T01:45:00+00:00,2410.67,2410.83,2409.84,2410.0
2024-01-02T01:46:00+00:00,2410.0,2410.17,2409.77,2409.85
2024-01-02T01:47:00+00:00,2409.85,2410.04,2409.81,2409.82
2024-01-02T01:48:00+00:00,2409.82,2409.98,2409.05,2409.23
2024-01-02T01:49:00+00:00,2409.23,2409.8,2409.2,2409.75
2024-01-02T01:50:00+00:00,2409.75,2410.09,2409.74,2410.03
2024-01-02T01:51:00+00:00,2410.03,2410.08,2409.99,2410.06
2024-01-02T01:52:00+00:00,2410.06,2410.09,2409.64,2409.71
2024-01-02T01:53:00+00:00,2409.71,2409.99,2409.62,2409.9
2024-01-02T01:54:00+00:00,2409.9,2409.93,2409.84,2409.89
2024-01-02T01:55:00+00:00,2409.89,2410.03,2409.15,2409.19
2024-01-02T01:56:00+00:00,2409.19,2409.71,2409.14,2409.71
2024-01-02T01:57:00+00:00,2409.71,2409.74,2409.54,2409.55
2024-01-02T01:58:00+00:00,2409.55,2410.08,2409.48,2409.83
2024-01-02T01:59:00+00:00,2409.83,2410.15,2409.75,2409.9
2024-01-02T02:00:00+00:00,2409.9,2410.0,2409.39,2409.45
2024-01-02T02:01:00+00:00,2409.45,2409.49,2408.59,2408.65
2024-01-02T02:02:00+00:00,2408.65,2408.74,2407.86,2407.88
2024-01-02T02:03:00+00:00,2407.88,2407.96,2407.56,2407.65
2024-01-02T02:04:00+00:00,2407.65,2407.77,2407.64,2407.76
2024-01-02T02:05:00+00:00,2407.76,2407.84,2407.25,2407.37
2024-01-02T02:06:00+00:00,2407.37,2407.43,2407.01,2407.06
2024-01-02T02:07:00+00:00,2407.06,2407.3,2406.93,2407.19
2024-01-02T02:08:00+00:00,2407.19,2407.26,2407.01,2407.04
2024-01-02T02:09:00+00:00,2407.04,2407.22,2406.72,2406.76
2024-01-02T02:10:00+00:00,2406.76,2406.92,2406.63,2406.9
2024-01-02T02:11:00+00:00,2406.9,2407.04,2406.88,2406.9
2024-01-02T02:12:00+00:00,2406.9,2406.94,2406.82,2406.82
2024-01-02T02:13:00+00:00,2406.82,2407.53,2406.81,2407.45
2024-01-02T02:14:00+00:00,2407.45,2407.55,2407.36,2407.45
2024-01-02T02:15:00+00:00,2407.45,2407.61,2406.72,2406.94
2024-01-02T02:16:00+00:00,2406.94,2407.0,2406.79,2406.97
2024-01-02T02:17:00+00:00,2406.97,2407.44,2406.79,2407.33
2024-01-02T02:18:00+00:00,2407.33,2407.83,2407.29,2407.81
2024-01-02T02:19:00+00:00,2407.81,2408.13,2407.67,2407.94
2024-01-02T02:20:00+00:00,2407.94,2408.54,2407.9,2408.47
2024-01-02T02:21:00+00:00,2408.47,2408.63,2407.96,2408.08
2024-01-02T02:22:00+00:00,2408.08,2408.45,2408.06,2408.25
2024-01-02T02:23:00+00:00,2408.25,2408.89,2408.15,2408.77
2024-01-02T02:24:00+00:00,2408.77,2409.21,2408.75,2409.17
2024-01-02T02:25:00+00:00,2409.17,2409.33,2409.04,2409.24
2024-01-02T02:26:00+00:00,2409.24,2409.35,2408.64,2408.73
2024-01-02T02:27:00+00:00,2408.73,2408.74,2408.33,2408.44
2024-01-02T02:28:00+00:00,2408.44,2408.54,2408.13,2408.25
2024-01-02T02:29:00+00:00,2408.25,2408.4,2408.15,2408.22
2024-01-02T02:30:00+00:00,2408.22,2408.54,2408.12,2408.47
2024-01-02T02:31:00+00:00,2408.47,2408.68,2408.37,2408.63
2024-01-02T02:32:00+00:00,2408.63,2409.15,2408.6,2409.05
2024-01-02T02:33:00+00:00,2409.05,2409.36,2408.84,2409.28
2024-01-02T02:34:00+00:00,2409.28,2409.31,2408.65,2408.69
2024-01-02T02:35:00+00:00,2408.69,2408.94,2408.64,2408.91
2024-01-02T02:36:00+00:00,2408.91,2409.01,2408.49,2408.73
2024-01-02T02:37:00+00:00,2408.73,2408.84,2408.5,2408.81
2024-01-02T02:38:00+00:00,2408.81,2408.85,2408.29,2408.3
2024-01-02T02:39:00+00:00,2408.3,2408.44,2408.12,2408.13
2024-01-02T02:40:00+00:00,2408.13,2408.14,2407.76,2407.78
2024-01-02T02:41:00+00:00,2407.78,2407.84,2407.42,2407.57
2024-01-02T02:42:00+00:00,2407.57,2407.7,2407.52,2407.67
2024-01-02T02:43:00+00:00,2407.67,2407.88,2407.63,2407.83
2024-01-02T02:44:00+00:00,2407.83,2407.96,2407.77,2407.95
2024-01-02T02:45:00+00:00,2407.95,2408.1,2407.58,2407.63
2024-01-02T02:46:00+00:00,2407.63,2407.65,2407.4,2407.5
2024-01-02T02:47:00+00:00,2407.5,2407.54,2407.4,2407.48
2024-01-02T02:48:00+00:00,2407.48,2409.43,2407.41,2409.37
2024-01-02T02:49:00+00:00,2409.37,2409.43,2409.31,2409.42
2024-01-02T02:50:00+00:00,2409.42,2409.48,2409.06,2409.16
2024-01-02T02:51:00+00:00,2409.16,2409.18,2408.72,2408.79
2024-01-02T02:52:00+00:00,2408.79,2408.81,2408.54,2408.55
2024-01-02T02:53:00+00:00,2408.55,2408.62,2408.2,2408.32
2024-01-02T02:54:00+00:00,2408.32,2408.37,2407.54,2407.57
2024-01-02T02:55:00+00:00,2407.57,2407.62,2407.49,2407.5
2024-01-02T02:56:00+00:00,2407.5,2408.11,2407.39,2407.97
2024-01-02T02:57:00+00:00,2407.97,2408.11,2407.74,2407.8
2024-01-02T02:58:00+00:00,2407.8,2408.0,2407.66,2407.89
2024-01-02T02:59:00+00:00,2407.89,2408.11,2407.49,2407.51
2024-01-02T03:00:00+00:00,2407.51,2407.6,2406.99,2407.02
2024-01-02T03:01:00+00:00,2407.02,2407.14,2406.98,2407.1
2024-01-02T03:02:00+00:00,2407.1,2407.5,2406.93,2407.37
2024-01-02T03:03:00+00:00,2407.37,2407.41,2407.16,2407.23
2024-01-02T03:04:00+00:00,2407.23,2407.49,2407.2,2407.3
2024-01-02T03:05:00+00:00,2407.3,2407.46,2407.17,2407.24
2024-01-02T03:06:00+00:00,2407.24,2407.26,2407.11,2407.18
2024-01-02T03:07:00+00:00,2407.18,2407.71,2407.17,2407.63
2024-01-02T03:08:00+00:00,2407.63,2407.67,2407.51,2407.55
2024-01-02T03:09:00+00:00,2407.55,2407.75,2407.5,2407.61
2024-01-02T03:10:00+00:00,2407.61,2407.7,2407.38,2407.41
2024-01-02T03:11:00+00:00,2407.41,2407.55,2407.14,2407.22
2024-01-02T03:12:00+00:00,2407.22,2407.72,2407.09,2407.68
2024-01-02T03:13:00+00:00,2407.68,2407.93,2407.63,2407.88
2024-01-02T03:14:00+00:00,2407.88,2408.06,2407.72,2407.86
2024-01-02T03:15:00+00:00,2407.86,2407.9,2407.71,2407.83
2024-01-02T03:16:00+00:00,2407.83,2408.12,2407.81,2407.91
2024-01-02T03:17:00+00:00,2407.91,2409.62,2407.85,2409.58
2024-01-02T03:18:00+00:00,2409.58,2409.73,2408.94,2409.01
2024-01-02T03:19:00+00:00,2409.01,2409.16,2408.75,2409.14
2024-01-02T03:20:00+00:00,2409.14,2409.33,2406.55,2406.58
2024-01-02T03:21:00+00:00,2406.58,2406.98,2406.55,2406.97
2024-01-02T03:22:00+00:00,2406.97,2406.98,2406.74,2406.81
2024-01-02T03:23:00+00:00,2406.81,2406.92,2406.66,2406.86
2024-01-02T03:24:00+00:00,2406.86,2407.0,2406.76,2406.96
2024-01-02T03:25:00+00:00,2406.96,2407.21,2406.9,2406.94
2024-01-02T03:26:00+00:00,2406.94,2407.02,2406.74,2406.86
2024-01-02T03:27:00+00:00,2406.86,2407.22,2406.76,2407.16
2024-01-02T03:28:00+00:00,2407.16,2407.38,2407.08,2407.31
2024-01-02T03:29:00+00:00,2407.31,2407.86,2407.18,2407.8
2024-01-02T03:30:00+00:00,2407.8,2408.01,2407.63,2407.83
2024-01-02T03:31:00+00:00,2407.83,2408.89,2407.71,2408.76
2024-01-02T03:32:00+00:00,2408.76,2408.79,2408.38,2408.4
2024-01-02T03:33:00+00:00,2408.4,2408.43,2408.09,2408.16
2024-01-02T03:34:00+00:00,2408.16,2408.49,2407.95,2408.47
2024-01-02T03:35:00+00:00,2408.47,2409.58,2408.47,2409.55
2024-01-02T03:36:00+00:00,2409.55,2409.74,2409.4,2409.73
2024-01-02T03:37:00+00:00,2409.73,2409.83,2409.63,2409.76
2024-01-02T03:38:00+00:00,2409.76,2409.96,2409.66,2409.89
2024-01-02T03:39:00+00:00,2409.89,2410.1,2409.86,2409.95
2024-01-02T03:40:00+00:00,2409.95,2409.99,2409.81,2409.86
2024-01-02T03:41:00+00:00,2409.86,2409.94,2408.42,2408.47
2024-01-02T03:42:00+00:00,2408.47,2408.77,2408.36,2408.75
2024-01-02T03:43:00+00:00,2408.75,2408.76,2408.53,2408.64
2024-01-02T03:44:00+00:00,2408.64,2408.66,2408.38,2408.49
2024-01-02T03:45:00+00:00,2408.49,2408.55,2407.96,2408.23
2024-01-02T03:46:00+00:00,2408.23,2408.28,2407.13,2407.24
2024-01-02T03:47:00+00:00,2407.24,2407.3,2406.92,2407.15
2024-01-02T03:48:00+00:00,2407.15,2407.24,2406.95,2406.99
2024-01-02T03:49:00+00:00,2406.99,2407.6,2406.96,2407.45
2024-01-02T03:50:00+00:00,2407.45,2407.91,2407.4,2407.82
2024-01-02T03:51:00+00:00,2407.82,2407.86,2407.56,2407.59
2024-01-02T03:52:00+00:00,2407.59,2408.29,2407.55,2408.09
2024-01-02T03:53:00+00:00,2408.09,2408.24,2407.98,2408.04
2024-01-02T03:54:00+00:00,2408.04,2408.16,2407.58,2407.64
2024-01-02T03:55:00+00:00,2407.64,2407.64,2407.21,2407.36
2024-01-02T03:56:00+00:00,2407.36,2407.53,2407.31,2407.47
2024-01-02T03:57:00+00:00,2407.47,2407.6,2407.19,2407.24
2024-01-02T03:58:00+00:00,2407.24,2407.42,2407.09,2407.33
2024-01-02T03:59:00+00:00,2407.33,2407.4,2406.96,2407.03
2024-01-02T04:00:00+00:00,2407.03,2407.06,2406.81,2406.85
2024-01-02T04:01:00+00:00,2406.85,2406.94,2406.71,2406.93
2024-01-02T04:02:00+00:00,2406.93,2407.0,2406.58,2406.61
2024-01-02T04:03:00+00:00,2406.61,2406.86,2406.57,2406.82
2024-01-02T04:04:00+00:00,2406.82,2406.88,2406.7,2406.82
2024-01-02T04:05:00+00:00,2406.82,2407.46,2406.72,2407.22
2024-01-02T04:06:00+00:00,2407.22,2407.3,2406.61,2406.76
